"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000184","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"70640",1
"GO:0001562","BP","GO:0001562","response to protozoan","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"15900",1
"GO:0002701","BP","GO:0002701","negative regulation of production of molecular mediator of immune response","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"12053",1
"GO:0014046","BP","GO:0014046","dopamine secretion","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"80976",1
"GO:0048536","BP","GO:0048536","spleen development","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"214133",1
"GO:0060122","BP","GO:0060122","inner ear receptor cell stereocilium organization","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"11941",1
"GO:0071168","BP","GO:0071168","protein localization to chromatin","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"228880",1
"GO:0072583","BP","GO:0072583","clathrin-dependent endocytosis","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"108800",1
"GO:0120316","BP","GO:0120316","sperm flagellum assembly","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"100048534",1
"GO:1905144","BP","GO:1905144","response to acetylcholine","1/479","48/28891",0.552083625740001,0.637089879372154,0.526137555493478,"20411",1
"GO:0002027","BP","GO:0002027","regulation of heart rate","2/479","112/28891",0.556435869186376,0.641935118603427,0.530138972573648,"12289/11554",2
"GO:0030098","BP","GO:0030098","lymphocyte differentiation","8/479","486/28891",0.557520732699328,0.643009295131988,0.531026075996892,"16331/63953/20377/15900/270110/58208/12053/14370",8
"GO:0007339","BP","GO:0007339","binding of sperm to zona pellucida","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"18551",1
"GO:0030890","BP","GO:0030890","positive regulation of B cell proliferation","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"12053",1
"GO:0045740","BP","GO:0045740","positive regulation of DNA replication","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"12540",1
"GO:0050850","BP","GO:0050850","positive regulation of calcium-mediated signaling","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"12554",1
"GO:0050856","BP","GO:0050856","regulation of T cell receptor signaling pathway","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"16534",1
"GO:1903018","BP","GO:1903018","regulation of glycoprotein metabolic process","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"117148",1
"GO:1905521","BP","GO:1905521","regulation of macrophage migration","1/479","49/28891",0.55952223972851,0.644074320546278,0.531905622017251,"109934",1
"GO:0065004","BP","GO:0065004","protein-DNA complex assembly","3/479","176/28891",0.560595911903175,0.645132664716312,0.532779650364777,"114714/83602/21413",3
"GO:0032755","BP","GO:0032755","positive regulation of interleukin-6 production","2/479","113/28891",0.561258882874043,0.645540332282521,0.533116320626986,"24088/22418",2
"GO:0050886","BP","GO:0050886","endocrine process","2/479","113/28891",0.561258882874043,0.645540332282521,0.533116320626986,"11480/14683",2
"GO:0000045","BP","GO:0000045","autophagosome assembly","2/479","114/28891",0.566044303182816,0.650704016196616,0.537380723688263,"117150/66725",2
"GO:0006605","BP","GO:0006605","protein targeting","5/479","303/28891",0.56606984674244,0.650704016196616,0.537380723688263,"75387/20660/75669/12759/66725",5
"GO:0032210","BP","GO:0032210","regulation of telomere maintenance via telomerase","1/479","50/28891",0.566837573171753,0.650704016196616,0.537380723688263,"70640",1
"GO:0042092","BP","GO:0042092","type 2 immune response","1/479","50/28891",0.566837573171753,0.650704016196616,0.537380723688263,"12053",1
"GO:0070269","BP","GO:0070269","pyroptosis","1/479","50/28891",0.566837573171753,0.650704016196616,0.537380723688263,"17951",1
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","1/479","50/28891",0.566837573171753,0.650704016196616,0.537380723688263,"54712",1
"GO:1901976","BP","GO:1901976","regulation of cell cycle checkpoint","1/479","50/28891",0.566837573171753,0.650704016196616,0.537380723688263,"19130",1
"GO:0050000","BP","GO:0050000","chromosome localization","2/479","115/28891",0.570792048509225,0.655063761488908,0.540981197977574,"12540/268491",2
"GO:0007292","BP","GO:0007292","female gamete generation","3/479","179/28891",0.572051534637223,0.655901754927508,0.541673250753141,"16336/67141/268491",3
"GO:0007565","BP","GO:0007565","female pregnancy","3/479","179/28891",0.572051534637223,0.655901754927508,0.541673250753141,"19223/13852/387218",3
"GO:0006305","BP","GO:0006305","DNA alkylation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"14683",1
"GO:0006306","BP","GO:0006306","DNA methylation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"14683",1
"GO:0031646","BP","GO:0031646","positive regulation of nervous system process","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"56508",1
"GO:0033046","BP","GO:0033046","negative regulation of sister chromatid segregation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"67141",1
"GO:0033048","BP","GO:0033048","negative regulation of mitotic sister chromatid segregation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"67141",1
"GO:0036230","BP","GO:0036230","granulocyte activation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"109934",1
"GO:0042181","BP","GO:0042181","ketone biosynthetic process","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"20280",1
"GO:0045841","BP","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"67141",1
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"12053",1
"GO:0060135","BP","GO:0060135","maternal process involved in female pregnancy","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"19223",1
"GO:0061028","BP","GO:0061028","establishment of endothelial barrier","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"76089",1
"GO:0097300","BP","GO:0097300","programmed necrotic cell death","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"70603",1
"GO:1902041","BP","GO:1902041","regulation of extrinsic apoptotic signaling pathway via death domain receptors","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"20377",1
"GO:2000816","BP","GO:2000816","negative regulation of mitotic sister chromatid separation","1/479","51/28891",0.574031665001119,0.655901754927508,0.541673250753141,"67141",1
"GO:0033865","BP","GO:0033865","nucleoside bisphosphate metabolic process","2/479","116/28891",0.575502050257175,0.657043290793203,0.542615982554935,"15378/18598",2
"GO:0033875","BP","GO:0033875","ribonucleoside bisphosphate metabolic process","2/479","116/28891",0.575502050257175,0.657043290793203,0.542615982554935,"15378/18598",2
"GO:0034032","BP","GO:0034032","purine nucleoside bisphosphate metabolic process","2/479","116/28891",0.575502050257175,0.657043290793203,0.542615982554935,"15378/18598",2
"GO:0002758","BP","GO:0002758","innate immune response-activating signaling pathway","4/479","244/28891",0.57788996167762,0.659589470451912,0.544718732551215,"69368/24088/233079/100502841",4
"GO:0009314","BP","GO:0009314","response to radiation","7/479","433/28891",0.579312259454895,0.660556528598295,0.545517372783358,"12444/18971/20377/244666/15574/107477/246317",7
"GO:0010906","BP","GO:0010906","regulation of glucose metabolic process","2/479","117/28891",0.58017425243079,0.660556528598295,0.545517372783358,"15378/20411",2
"GO:0015844","BP","GO:0015844","monoamine transport","2/479","117/28891",0.58017425243079,0.660556528598295,0.545517372783358,"80976/18799",2
"GO:0043473","BP","GO:0043473","pigmentation","2/479","117/28891",0.58017425243079,0.660556528598295,0.545517372783358,"12560/22293",2
"GO:0050890","BP","GO:0050890","cognition","6/479","371/28891",0.580924973909877,0.660556528598295,0.545517372783358,"14683/24088/12444/58234/246317/11554",6
"GO:0003197","BP","GO:0003197","endocardial cushion development","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"18128",1
"GO:0007617","BP","GO:0007617","mating behavior","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"11480",1
"GO:0010518","BP","GO:0010518","positive regulation of phospholipase activity","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"11813",1
"GO:0014037","BP","GO:0014037","Schwann cell differentiation","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"18810",1
"GO:0016073","BP","GO:0016073","snRNA metabolic process","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"319885",1
"GO:0021532","BP","GO:0021532","neural tube patterning","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"19206",1
"GO:0032309","BP","GO:0032309","icosanoid secretion","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"216749",1
"GO:0032728","BP","GO:0032728","positive regulation of interferon-beta production","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"24088",1
"GO:0034605","BP","GO:0034605","cellular response to heat","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"20840",1
"GO:0050974","BP","GO:0050974","detection of mechanical stimulus involved in sensory perception","1/479","52/28891",0.581106520495726,0.660556528598295,0.545517372783358,"11941",1
"GO:0042445","BP","GO:0042445","hormone metabolic process","4/479","246/28891",0.584331674626303,0.664042136762826,0.548395945208495,"20280/18550/18551/216453",4
"GO:0006939","BP","GO:0006939","smooth muscle contraction","2/479","118/28891",0.58480861123714,0.66440358929468,0.548694449011011,"13383/11554",2
"GO:0002920","BP","GO:0002920","regulation of humoral immune response","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"12509",1
"GO:0008089","BP","GO:0008089","anterograde axonal transport","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"246317",1
"GO:0014904","BP","GO:0014904","myotube cell development","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"18810",1
"GO:0031124","BP","GO:0031124","mRNA 3'-end processing","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"56522",1
"GO:0032392","BP","GO:0032392","DNA geometric change","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"320209",1
"GO:0032968","BP","GO:0032968","positive regulation of transcription elongation by RNA polymerase II","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"228880",1
"GO:0034331","BP","GO:0034331","cell junction maintenance","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"233765",1
"GO:0042088","BP","GO:0042088","T-helper 1 type immune response","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"16177",1
"GO:0042755","BP","GO:0042755","eating behavior","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"216749",1
"GO:0043124","BP","GO:0043124","negative regulation of canonical NF-kappaB signal transduction","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"66505",1
"GO:0045907","BP","GO:0045907","positive regulation of vasoconstriction","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"23945",1
"GO:0046596","BP","GO:0046596","regulation of viral entry into host cell","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"18550",1
"GO:0046641","BP","GO:0046641","positive regulation of alpha-beta T cell proliferation","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"320484",1
"GO:1902100","BP","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"67141",1
"GO:1904263","BP","GO:1904263","positive regulation of TORC1 signaling","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"225131",1
"GO:1905819","BP","GO:1905819","negative regulation of chromosome separation","1/479","53/28891",0.588064111836707,0.665210742683556,0.549361032682612,"67141",1
"GO:0002275","BP","GO:0002275","myeloid cell activation involved in immune response","2/479","119/28891",0.589405094698625,0.66618705568369,0.550167315990381,"109934/225642",2
"GO:0006354","BP","GO:0006354","DNA-templated transcription elongation","2/479","119/28891",0.589405094698625,0.66618705568369,0.550167315990381,"228880/66505",2
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","2/479","119/28891",0.589405094698625,0.66618705568369,0.550167315990381,"12540/67141",2
"GO:0009141","BP","GO:0009141","nucleoside triphosphate metabolic process","3/479","184/28891",0.590727500413261,0.667321017484672,0.551103792787941,"52815/22169/66725",3
"GO:0010951","BP","GO:0010951","negative regulation of endopeptidase activity","3/479","184/28891",0.590727500413261,0.667321017484672,0.551103792787941,"241324/20660/17951",3
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","5/479","312/28891",0.592020355611645,0.668600898506049,0.552160776258739,"329152/12540/12704/67141/268491",5
"GO:0021761","BP","GO:0021761","limbic system development","2/479","120/28891",0.593963682274819,0.670231270345967,0.553507210854821,"30928/19130",2
"GO:0009583","BP","GO:0009583","detection of light stimulus","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"107477",1
"GO:0032715","BP","GO:0032715","negative regulation of interleukin-6 production","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"16331",1
"GO:0032941","BP","GO:0032941","secretion by tissue","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"16534",1
"GO:0045005","BP","GO:0045005","DNA-templated DNA replication maintenance of fidelity","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"18971",1
"GO:0045581","BP","GO:0045581","negative regulation of T cell differentiation","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"12053",1
"GO:0048066","BP","GO:0048066","developmental pigmentation","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"22293",1
"GO:0071709","BP","GO:0071709","membrane assembly","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"13852",1
"GO:1902275","BP","GO:1902275","regulation of chromatin organization","1/479","54/28891",0.594906378652374,0.670231270345967,0.553507210854821,"72041",1
"GO:0035296","BP","GO:0035296","regulation of tube diameter","3/479","186/28891",0.598049360160075,0.673409376464576,0.556131834221922,"23945/233765/11554",3
"GO:0097746","BP","GO:0097746","blood vessel diameter maintenance","3/479","186/28891",0.598049360160075,0.673409376464576,0.556131834221922,"23945/233765/11554",3
"GO:0002507","BP","GO:0002507","tolerance induction","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"98432",1
"GO:0002823","BP","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"12053",1
"GO:0016571","BP","GO:0016571","histone methylation","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"319974",1
"GO:0021517","BP","GO:0021517","ventral spinal cord development","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"19206",1
"GO:0022602","BP","GO:0022602","ovulation cycle process","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"17886",1
"GO:0031113","BP","GO:0031113","regulation of microtubule polymerization","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"17755",1
"GO:0032965","BP","GO:0032965","regulation of collagen biosynthetic process","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"18128",1
"GO:0043370","BP","GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"12053",1
"GO:0051353","BP","GO:0051353","positive regulation of oxidoreductase activity","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"12560",1
"GO:0051985","BP","GO:0051985","negative regulation of chromosome segregation","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"67141",1
"GO:0099054","BP","GO:0099054","presynapse assembly","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"75409",1
"GO:0140374","BP","GO:0140374","antiviral innate immune response","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"17973",1
"GO:1901799","BP","GO:1901799","negative regulation of proteasomal protein catabolic process","1/479","55/28891",0.601635228554427,0.674408384194105,0.556956859860771,"225131",1
"GO:0007219","BP","GO:0007219","Notch signaling pathway","3/479","187/28891",0.601678068251603,0.674408384194105,0.556956859860771,"18128/94187/12053",3
"GO:0035150","BP","GO:0035150","regulation of tube size","3/479","187/28891",0.601678068251603,0.674408384194105,0.556956859860771,"23945/233765/11554",3
"GO:0050792","BP","GO:0050792","regulation of viral process","3/479","187/28891",0.601678068251603,0.674408384194105,0.556956859860771,"19130/18128/18550",3
"GO:0071248","BP","GO:0071248","cellular response to metal ion","3/479","187/28891",0.601678068251603,0.674408384194105,0.556956859860771,"80976/74772/66725",3
"GO:0008585","BP","GO:0008585","female gonad development","2/479","122/28891",0.602967142591038,0.675672183900247,0.558000562656173,"20377/17886",2
"GO:0048545","BP","GO:0048545","response to steroid hormone","4/479","253/28891",0.606423159526102,0.679180946207327,0.560898256816492,"228545/18600/20377/67488",4
"GO:2001234","BP","GO:2001234","negative regulation of apoptotic signaling pathway","4/479","253/28891",0.606423159526102,0.679180946207327,0.560898256816492,"217558/66505/12759/66725",4
"GO:0006275","BP","GO:0006275","regulation of DNA replication","2/479","123/28891",0.607412028160865,0.679591801366945,0.5612375595371,"12540/67141",2
"GO:0008306","BP","GO:0008306","associative learning","2/479","123/28891",0.607412028160865,0.679591801366945,0.5612375595371,"58234/246317",2
"GO:0051101","BP","GO:0051101","regulation of DNA binding","2/479","123/28891",0.607412028160865,0.679591801366945,0.5612375595371,"56541/215001",2
"GO:0006111","BP","GO:0006111","regulation of gluconeogenesis","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"15378",1
"GO:0010463","BP","GO:0010463","mesenchymal cell proliferation","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"22418",1
"GO:0019083","BP","GO:0019083","viral transcription","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"18128",1
"GO:0031529","BP","GO:0031529","ruffle organization","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"23854",1
"GO:0045071","BP","GO:0045071","negative regulation of viral genome replication","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"19130",1
"GO:0060251","BP","GO:0060251","regulation of glial cell proliferation","1/479","56/28891",0.608252537665345,0.679591801366945,0.5612375595371,"18128",1
"GO:0000209","BP","GO:0000209","protein polyubiquitination","4/479","254/28891",0.609520182461166,0.680826229447809,0.562257005919671,"72296/636931/217558/218793",4
"GO:0006888","BP","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","2/479","124/28891",0.611819042811617,0.683029160981896,0.564076286133958,"20660/66725",2
"GO:0009142","BP","GO:0009142","nucleoside triphosphate biosynthetic process","2/479","124/28891",0.611819042811617,0.683029160981896,0.564076286133958,"52815/22169",2
"GO:0010038","BP","GO:0010038","response to metal ion","5/479","320/28891",0.614353201814728,0.683393660833437,0.564377306550506,"80976/22065/74772/18799/66725",5
"GO:0006693","BP","GO:0006693","prostaglandin metabolic process","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"19223",1
"GO:0007129","BP","GO:0007129","homologous chromosome pairing at meiosis","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"268491",1
"GO:0007131","BP","GO:0007131","reciprocal meiotic recombination","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"114714",1
"GO:0010596","BP","GO:0010596","negative regulation of endothelial cell migration","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"18128",1
"GO:0010883","BP","GO:0010883","regulation of lipid storage","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"12623",1
"GO:0032350","BP","GO:0032350","regulation of hormone metabolic process","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"216453",1
"GO:0043300","BP","GO:0043300","regulation of leukocyte degranulation","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"109934",1
"GO:0045777","BP","GO:0045777","positive regulation of blood pressure","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"11554",1
"GO:0046717","BP","GO:0046717","acid secretion","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"12623",1
"GO:0051293","BP","GO:0051293","establishment of spindle localization","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"17886",1
"GO:0051955","BP","GO:0051955","regulation of amino acid transport","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"105727",1
"GO:0070527","BP","GO:0070527","platelet aggregation","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"14683",1
"GO:0072698","BP","GO:0072698","protein localization to microtubule cytoskeleton","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"17318",1
"GO:0140527","BP","GO:0140527","reciprocal homologous recombination","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"114714",1
"GO:2000059","BP","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process","1/479","57/28891",0.614760151137109,0.683393660833437,0.564377306550506,"225131",1
"GO:0045582","BP","GO:0045582","positive regulation of T cell differentiation","2/479","125/28891",0.616188217832976,0.684617196327711,0.565387757343809,"63953/12053",2
"GO:0046545","BP","GO:0046545","development of primary female sexual characteristics","2/479","125/28891",0.616188217832976,0.684617196327711,0.565387757343809,"20377/17886",2
"GO:0072593","BP","GO:0072593","reactive oxygen species metabolic process","4/479","257/28891",0.61872115396267,0.687219744304752,0.567537058839611,"11758/17523/66725/14218",4
"GO:0007612","BP","GO:0007612","learning","3/479","192/28891",0.619496145695881,0.687219744304752,0.567537058839611,"24088/58234/246317",3
"GO:0032388","BP","GO:0032388","positive regulation of intracellular transport","3/479","192/28891",0.619496145695881,0.687219744304752,0.567537058839611,"20280/12540/20660",3
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","7/479","450/28891",0.619725252725464,0.687219744304752,0.567537058839611,"16177/18128/18600/26457/108737/17951/22418",7
"GO:0048145","BP","GO:0048145","regulation of fibroblast proliferation","2/479","126/28891",0.620519593870099,0.687219744304752,0.567537058839611,"20377/22418",2
"GO:0006692","BP","GO:0006692","prostanoid metabolic process","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"19223",1
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"67141",1
"GO:0033059","BP","GO:0033059","cellular pigmentation","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"12560",1
"GO:0034142","BP","GO:0034142","toll-like receptor 4 signaling pathway","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"69368",1
"GO:0045010","BP","GO:0045010","actin nucleation","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"14260",1
"GO:0045058","BP","GO:0045058","T cell selection","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"58208",1
"GO:0048538","BP","GO:0048538","thymus development","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"58208",1
"GO:0051496","BP","GO:0051496","positive regulation of stress fiber assembly","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"12540",1
"GO:0052372","BP","GO:0052372","modulation by symbiont of entry into host","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"18550",1
"GO:0070229","BP","GO:0070229","negative regulation of lymphocyte apoptotic process","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"58208",1
"GO:1903170","BP","GO:1903170","negative regulation of calcium ion transmembrane transport","1/479","58/28891",0.621159883661397,0.687219744304752,0.567537058839611,"69563",1
"GO:0060271","BP","GO:0060271","cilium assembly","6/479","387/28891",0.621839450876024,0.687789628025266,0.568007694518085,"230872/94187/244653/214552/69926/100048534",6
"GO:0010952","BP","GO:0010952","positive regulation of peptidase activity","3/479","193/28891",0.622994181523908,0.68888462906742,0.568911995763851,"13838/13666/223453",3
"GO:0019318","BP","GO:0019318","hexose metabolic process","4/479","259/28891",0.624779357772386,0.689983862839895,0.569819792589216,"15378/18598/213053/20411",4
"GO:0007052","BP","GO:0007052","mitotic spindle organization","2/479","127/28891",0.624813220606093,0.689983862839895,0.569819792589216,"57752/320165",2
"GO:0033138","BP","GO:0033138","positive regulation of peptidyl-serine phosphorylation","2/479","127/28891",0.624813220606093,0.689983862839895,0.569819792589216,"74370/22418",2
"GO:0048534","BP","GO:0048534","hematopoietic or lymphoid organ development","2/479","127/28891",0.624813220606093,0.689983862839895,0.569819792589216,"214133/58208",2
"GO:0070646","BP","GO:0070646","protein modification by small protein removal","2/479","127/28891",0.624813220606093,0.689983862839895,0.569819792589216,"70527/72344",2
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","5/479","324/28891",0.625248203522201,0.690281939580212,0.570065957804796,"13838/15378/22022/20377/13640",5
"GO:0007281","BP","GO:0007281","germ cell development","7/479","453/28891",0.626633942889627,0.690710876683437,0.570420193409942,"14683/16336/214572/67141/18551/268491/100048534",7
"GO:0001825","BP","GO:0001825","blastocyst formation","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"18550",1
"GO:0021515","BP","GO:0021515","cell differentiation in spinal cord","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"19206",1
"GO:0031663","BP","GO:0031663","lipopolysaccharide-mediated signaling pathway","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"17084",1
"GO:0032673","BP","GO:0032673","regulation of interleukin-4 production","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"22761",1
"GO:0032892","BP","GO:0032892","positive regulation of organic acid transport","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"105727",1
"GO:0033619","BP","GO:0033619","membrane protein proteolysis","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"17886",1
"GO:0046460","BP","GO:0046460","neutral lipid biosynthetic process","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"26457",1
"GO:0046463","BP","GO:0046463","acylglycerol biosynthetic process","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"26457",1
"GO:0051123","BP","GO:0051123","RNA polymerase II preinitiation complex assembly","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"83602",1
"GO:1904356","BP","GO:1904356","regulation of telomere maintenance via telomere lengthening","1/479","59/28891",0.627453519971396,0.690710876683437,0.570420193409942,"70640",1
"GO:0051261","BP","GO:0051261","protein depolymerization","2/479","128/28891",0.629069156452404,0.692307161127356,0.571738477097046,"17755/17318",2
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","3/479","195/28891",0.629924205647521,0.69306577953642,0.572364978393364,"11758/17523/66725",3
"GO:0002699","BP","GO:0002699","positive regulation of immune effector process","5/479","326/28891",0.630626111121119,0.693638355863931,0.572837837748133,"16177/24088/233079/360013/22418",5
"GO:0097305","BP","GO:0097305","response to alcohol","4/479","261/28891",0.630776343221073,0.693638355863931,0.572837837748133,"14683/12623/19206/13640",4
"GO:0003073","BP","GO:0003073","regulation of systemic arterial blood pressure","2/479","129/28891",0.633287468246959,0.694234805798391,0.573330413004234,"56485/11554",2
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","2/479","129/28891",0.633287468246959,0.694234805798391,0.573330413004234,"15378/13085",2
"GO:0002204","BP","GO:0002204","somatic recombination of immunoglobulin genes involved in immune response","1/479","60/28891",0.633642815335356,0.694234805798391,0.573330413004234,"12053",1
"GO:0002208","BP","GO:0002208","somatic diversification of immunoglobulins involved in immune response","1/479","60/28891",0.633642815335356,0.694234805798391,0.573330413004234,"12053",1
"GO:0002675","BP","GO:0002675","positive regulation of acute inflammatory response","1/479","60/28891",0.633642815335356,0.694234805798391,0.573330413004234,"233079",1
